plz;strasse;nummer;bezeichnung;schlüssel nr;bemerkung;zweck;lon;lat;image
8330;Schützenhausstrasse;5;Schellenberg Druck;30;;Gewerbe;8.772022;47.365769;
8330;Schützenhausstrasse;19;Schützenhaus Saumhol;35;;;8.7686912;47.3668941;
8330;Schützenhausstrasse;7;Lidl Schützenhaus 7;129;;Lidl;;;
8330;Seestrasse;45;Ref. Kirche Pfäffiko;42;;Kirchgemeindehaus;8.7816187;47.3657231;Seestrasse 45.jpg
8331;Sonnenstrasse;6;Sonnenstr. 6;104;;Tiefgarage;8.8071971;47.34521;Sonnenstrasse 6.jpg
8330;Sophie-Guyer-Strasse;9;Sophie Guyerstr 9;130;;?;;;
8330;Speckstrasse;19;HABA;14;;Gewerbe;8.768969;47.372232;Speckstrasse 19.jpg
8330;Speckstrasse;18;H&S Areal Witzberg;18;;Gewerbe;8.7706138;47.3718242;Speckstrasse 18.jpg
8330;Speckstrasse;23;Sportanlage Barzloo;34;;;;;
8330;Speckstrasse;9;Speckstrasse 9;45;;Gewerbe;8.7700991;47.3704132;Speckstrasse 9.jpg
8330;Speerstrasse;9;Objekt: 19, Freuler;19;;Gewerbe, Wohnhaus;8.7717651;47.3690252;Speerstrasse 9.jpg
8330;Speerstrasse;15;Schneiders Quer;;Zylinder beschriftet?;Hotel? Mit BMA;8.7711469;47.3694606;Speerstrasse 15.jpg
8330;Steinmüristrasse;17;Steinmüristr. 17/18;95;;Mäse? Steinmüristrasse 11;;;
8330;Steinwiesstrasse;3;Steinwiesstrasse 3;105;;Tiefgarage;8.7840391;47.3707642;Steinwiesstrasse 3.jpg
8330;Steinwiesstrasse;43;Steinwies45Russike60;137;;;;;
8330;Stoffelstrasse;14a;Stoffelstr. 14;72;;Tiefgarage;8.7963984;47.3652713;
8330;Stogelenstrasse;26;Stogelenstr. 26;58;;?;;;
8330;Stogelenweg;2;Heimatmuseum;16;;Museum, Bilder unter Im Platz 1 abgelegt;8.7814775;47.3642186;
8331;Strandbadstrasse;2.1;Strandbadstr. 2;88;;Tiefgarage, Seebrise;8.8063363;47.3436245;Strandbadstrasse 2.1.jpg
8331;Sunnehöckli;1;Sunnehöckli 1, Balm;66;;?;;;
8330;Tumbelenstrasse;20;H&S Tumbelen 20;18;;Gewerbe;8.7830063;47.364831;Tumbelenstrasse 20.jpg
8330;Tumbelenstrasse;60.1;Tumbelenstr. 60A-G;52;;"Tiefgarage, Überbauung ""Beluga""";8.7881293;47.3629651;Tumbelenstrasse 60.1.jpg
8330;Tumbelenstrasse;32.1;Ueberb. Tumbelen;53;;Tiefgarage, Zylinder fehlt, wurde ersetzt mit 134;;;
8330;Tumbelenstrasse;32;Tumbelenstr. 32a ABSPERR;55;;Pfosten Gehwege;8.7849838;47.3641188;
8330;Tumbelenstrasse;32;Tumbelenstr. 32a ABSPERR;55;;Pfosten Gehwege;8.784313;47.363976;
8330;Tumbelenstrasse;6;Chesselhuus;74;;Chesselhuus;8.7826111;47.3646038;Tumbelenstrasse 6.jpg
8330;Tumbelenstrasse;58;Tumbelenstrasse 54/58;80;;Tiefgarage;8.7875994;47.3631371;Tumbelenstrasse 58.jpg
8330;Tumbelenstrasse;8;Tumbelenstr. 8A/8B;111;;Tiefgarage;8.782101;47.364409;Tumbelenstrasse 8A.jpg
8330;Tumbelenstrasse;55;Tumbelenstrasse 55;116;;Tiefgarage;8.787892;47.363344;Tumbelenstrasse 55.jpg
8330;Tumbelenstrasse;32.1;Tumbelenstrasse 32a-d;134;;Tiefgarage;8.7844382;47.3640263;Tumbelenstrasse 32.1.jpg
8330;Turmstrasse;12;Coop Turmstr. 10;27;;Coop, Alarmgesichert, Adresse Foto falsch;8.7814998;47.3689903;Turmstrasse 12.jpg
8330;Turmstrasse;9;Migros Turmstr.9;49;;Gewerbe;8.7812711;47.368858;Turmstrasse 9.jpg
8330;Turmstrasse;17;Turmstrasse 17;50;;Tiefgarage;8.7809284;47.3681336;
8330;Turmstrasse;21.1;Turmstrasse 17;50;;Tiefgarage;8.7807206;47.3688779;Turmstrasse 21.1.jpg
8330;Turmstrasse;5;Turmstr. 5 _ZKB;81;;Heim;8.7817843;47.3680325;
8330;Turmstrasse;25;Zugang Frohwies, Seite Turmstrasse;;Schlüsselrohr vorhanden?;;;;
8330;Usterstrasse;39;L'AQ, Usterstr. 39;51;Zylinder leer und nicht beschriftet;Tiefgarage;;;
8330;Usterstrasse;35b;Bootshaus Seerettung;135;;;8.778556;47.364214;Usterstrasse 35b.jpg
8330;Usterstrasse;5;Ref. Kirche;;nicht auffindbar im Schliessplan;Ref. Kirche;8.7807688;47.3653517;Usterstrasse 5.jpg
8330;Waldfriedenstrasse;21;Altersheim Waldfrieden;;nicht auffindbar im Schliessplan;Heim;8.7947443;47.3752759;Waldfriedenstrasse 21.jpg
8330;Wallikerstrasse;44;Lindenbaum Ausb;29;;Heim;8.7896482;47.3705774;Wallikerstrasse 44.jpg
