plz,strasse,nummer,lon,lat,status,modifikation,batterie,kommentar
8330,Hotzenweidstrasse,53F,8.77814,47.373506,ANMELDUNG,28.07.2026,False,Plan nicht vorhanden
8330,Hotzenweidstrasse,53G,8.778071403503418,47.373531341552734,IN_BETRIEB,18.07.2014,False,
8330,Hotzenweidstrasse,55a,8.779356002807617,47.3734016418457,IN_BETRIEB,12.12.2016,False,
8330,Hotzenweidstrasse,55b,8.779287,47.373427,ANMELDUNG,01.06.2026,True,Batterie
8330,Hotzenweidstrasse,55c,8.779229164123535,47.373470306396484,IN_BETRIEB,09.11.2016,False,
8330,Hotzenweidstrasse,55f,8.779019355773926,47.37355041503906,IN_BETRIEB,21.10.2016,False,
8330,Höhenstrasse,10,8.805892944335938,47.37918472290039,IN_BETRIEB,14.12.2016,False,
8330,Höhenstrasse,31,8.798900604248047,47.38163375854492,IN_BETRIEB,29.09.2023,False,
8330,Höhenstrasse,33,8.798356056213379,47.38164520263672,IN_BETRIEB,29.09.2023,False,
8330,Höhenstrasse,33.1,8.798225402832031,47.38135528564453,IN_BETRIEB,29.09.2023,False,
8330,Höhenstrasse,34,8.797697067260742,47.3821907043457,UNBEKANNT,,False,keine Ahnung
8330,Höhenstrasse,37,8.797146797180176,47.38215637207031,UNBEKANNT,,False,nicht erstellt
8330,Hörnlistrasse,105,8.79453182220459,47.3657112121582,IN_BETRIEB,12.07.2019,False,
8330,Hörnlistrasse,15,8.785663604736328,47.37058639526367,IN_BETRIEB,16.11.2016,False,
8330,Hörnlistrasse,22,8.785921096801758,47.37002182006836,IN_BETRIEB,,False,"kein Plan vorhanden, BG2011-0128"
8330,Hörnlistrasse,27,8.786643028259277,47.3702507019043,IN_BETRIEB,22.12.2015,False,
8330,Hörnlistrasse,38,8.787040710449219,47.36904525756836,IN_BETRIEB,08.09.2014,False,
8330,Hörnlistrasse,55,8.788681030273438,47.368682861328125,30.11.2023,False,Gefängnis
8330,Hörnlistrasse,60,8.788569450378418,47.36836624145508,IN_BETRIEB,23.02.2023,False,
8330,Hörnlistrasse,64,8.789417,47.368127,ANMELDUNG,06.10.2025,False,
8330,Hörnlistrasse,68,8.789800643920898,47.36801528930664,IN_BETRIEB,14.07.2020,False,
8330,Hörnlistrasse,71,8.789782524108887,47.36848449707031,IN_BETRIEB,19.01.2026,False,Bezirksgebäude
8330,Hörnlistrasse,77,8.791132926940918,47.36759567260742,IN_BETRIEB,21.05.2014,False,
8330,Hörnlistrasse,80,8.791336059570312,47.366539001464844,IN_BETRIEB,14.08.2018,False,
8330,Hörnlistrasse,86.1,8.792349815368652,47.366512298583984,IN_BETRIEB,22.03.2022,False,
8330,Hörnlistrasse,88,8.792556762695312,47.36643600463867,IN_BETRIEB,,False,"kein Plan vorhanden, BG2013-0044"
8330,Hörnlistrasse,90,8.792763710021973,47.36631774902344,IN_BETRIEB,26.09.2024,True,Batterie
8330,Hörnlistrasse,99,8.793985366821289,47.366085052490234,IN_BETRIEB,06.03.2017,False,
8330,Hörnlistrasse,101,8.794294,47.365976,IN_BETRIEB,31.10.2024,True,Batterie
8330,Im Freienstein,8a+b,8.794179916381836,47.36564636230469,IN_BETRIEB,17.01.2024,True,Batterie
8330,Im Freienstein,10,8.793414,47.36597,IN_BETRIEB,21.11.2024,False
8330,Im Spitz,"1,3", 8.776942,47.366295,ANMELDUNG,15.04.2026,False
8330,Im Spitz,"7,9,11",8.776571,47.366076,ANMELDUNG,15.04.2026,False
8330,Im Spitz,33,8.773367881774902,47.3661994934082,IN_BETRIEB,09.04.2024,False,
8330,Im Spitz,35,8.77330207824707,47.3661003112793,IN_BETRIEB,09.04.2024,False,
8330,Im Stock,4,8.784727096557617,47.369895935058594,IN_BETRIEB,,False,"(BG2013-0055), nach meinem Wissensstand ist es eine thermische Anlage"
8330,Im Stock,6,8.784584999084473,47.36991882324219,IN_BETRIEB,,False,"kein Plan vorhanden, BG2008-0050"
8330,In der Tarn,1,8.788652420043945,47.355777740478516,IN_BETRIEB,09.02.2017,False,
8330,Kempttalstrasse,42,8.780162811279297,47.36824035644531,IN_BETRIEB,01.08.2018,False,
8330,Kempttalstrasse,60,8.778665542602539,47.36941909790039,IN_BETRIEB,22.06.2022,False,
8330,Kempttalstrasse,"78,78.1",8.777316,47.370414,IN_BETRIEB,26.03.2026,True,"Batterie, Schopf"
8330,Kempttalstrasse,90,8.776277542114258,47.37108612060547,IN_BETRIEB,19.02.2019,False,
8330,Leeweidstrasse,15,8.808133125305176,47.37969970703125,IN_BETRIEB,01.11.2022,False,
